mean_cap	var_cap	max_cap	min_cap	mean_n_loc	var_n_loc	max_n_loc	min_n_loc	mean_n_link	var_n_link	max_n_link	min_n_link	mean_n_contacts	var_n_contacts	max_n_contacts	min_n_contacts	mean_n_steps	var_n_steps	max_n_steps	min_n_steps	mean_freq_plan	var_freq_plan	max_freq_plan	min_freq_plan	mean_acc_c	var_acc_c	max_acc_c	min_acc_c	mean_acc_l	var_acc_l	max_acc_l	min_acc_l	mean_n_plan	var_n_plan	max_n_plan	min_n_plan	mean_acc_c_m	var_acc_c_m	max_acc_c_m	min_acc_c_m	mean_acc_l_m	var_acc_l_m	max_acc_l_m	min_acc_l_m	mean_n_loc_m	var_n_loc_m	max_n_loc_m	min_n_loc_m	mean_n_link_m	var_n_link_m	max_n_link_m	min_n_link_m	mean_count	var_count	max_count	min_count	mean_traffic	var_traffic	max_traffic	min_traffic	mean_N	var_N	max_N	min_N	n_migrants	n_arrived	n_dead	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.42857142857142855	0.2857142857142857	1.0	0.0	0.9651854835550265	0.00141299460800548	1.0	0.8952268479475828	0.9922237329504198	0.00017646627814486374	1.0	0.9722506616224141	8.857142857142858	11.142857142857148	15.0	6.0	9.857142857142858	12.476190476190482	17.0	7.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.07228915662650602	0.11666176902732883	2.0	0.0	7	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.6111111111111112	0.24444444444444444	1.0	0.0	0.9505171288069071	0.0006771997643310458	1.0	0.8972509461291869	1.019765837574456	0.023133969210383853	1.4955865366940324	0.7817032927217018	16.75	49.56428571428572	32.0	8.0	15.444444444444445	29.682539682539677	27.0	7.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.3614457831325301	2.111666176902733	9.0	0.0	36	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7735849056603774	0.17851959361393324	1.0	0.0	0.931287719702445	0.0002355615485066883	0.9923387951687296	0.9079167576844213	1.1765348955197854	0.20015184980861142	3.7339863985503463	0.7102986474335683	38.735849056603776	243.27503628447027	65.0	8.0	37.16981132075472	450.52830188679246	89.0	9.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.3614457831325301	2.3555686159271234	11.0	0.0	53	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.9189189189189189	5.061828952239911	9.0	0.0	0.9280622840281043	0.00019245521523702155	1.0	0.8908750780795484	1.32762852937334	0.1323024972512988	3.0287081703001553	0.6473088481839814	58.36486486486486	430.2897075157348	83.0	8.0	87.9054054054054	2814.6621621621625	202.0	8.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.40963855421686746	2.3179547458125183	9.0	0.0	74	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.223404255319149	4.9280485014870745	10.0	0.0	0.9322269304555499	0.00015791851835399116	0.9919827219644625	0.8878325584118392	1.8605329684776968	0.13697346839596444	2.9367205011071102	0.7733029354935114	74.81914893617021	221.50457561198843	83.0	12.0	195.04255319148936	6397.697094486385	324.0	13.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.5301204819277109	2.8374963267704967	9.0	0.0	94	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.4873949579831933	4.082466885059107	12.0	0.0	0.9408710917282733	0.0001267637544410535	0.9810500700978205	0.9049054812934934	2.2435861030641617	0.18148023250692777	3.70486047592775	0.9898599179866655	78.56302521008404	157.29896026207095	83.0	11.0	304.25210084033614	9439.512177752456	401.0	10.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.6626506024096386	4.128709961798413	11.0	0.0	119	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.5384615384615383	2.8550983899821114	9.0	0.0	0.9459936711537794	8.546765089629953e-5	0.9897850602249728	0.9110285684676083	2.4278599940750794	0.10632264464559178	3.2562787963379294	1.0	81.35384615384615	79.0366129994035	83.0	10.0	383.39230769230767	4915.8061419200985	432.0	10.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.6144578313253012	5.386129885395239	17.0	0.0	130	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.6193548387096772	2.574947633012149	9.0	0.0	0.9476912519215441	7.257518792850722e-5	0.9591130305798162	0.9031051559332337	2.492816879980847	0.09013533657607636	3.4933788559206693	1.0	80.84516129032258	108.33950565563433	83.0	8.0	409.9548387096774	5605.1992459153735	448.0	8.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7831325301204819	7.7084925066118135	19.0	0.0	155	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.6761363636363638	2.2087987012987003	9.0	0.0	0.9495550461959925	5.4346890612383244e-5	0.9657358733938094	0.9245554196250196	2.61375517616891	0.07088199509715586	3.9796890072271287	1.0	81.75	45.34285714285714	83.0	11.0	434.23295454545456	3641.4939935064954	465.0	11.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.927710843373494	12.970320305612695	23.0	0.0	176	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.7552083333333335	2.1125381762652697	9.0	0.0	0.9515704647083579	4.712694316830641e-5	1.0	0.9152208664049789	2.7071601241383934	0.07570156844822622	4.645071998341015	1.0	82.19270833333333	32.355339223386096	83.0	14.0	451.2447916666667	2510.908349694577	469.0	7.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.036144578313253	16.352336173964147	26.0	0.0	192	0	0	
