mean_cap	var_cap	max_cap	min_cap	mean_n_loc	var_n_loc	max_n_loc	min_n_loc	mean_n_link	var_n_link	max_n_link	min_n_link	mean_n_contacts	var_n_contacts	max_n_contacts	min_n_contacts	mean_n_steps	var_n_steps	max_n_steps	min_n_steps	mean_freq_plan	var_freq_plan	max_freq_plan	min_freq_plan	mean_acc_c	var_acc_c	max_acc_c	min_acc_c	mean_acc_l	var_acc_l	max_acc_l	min_acc_l	mean_n_plan	var_n_plan	max_n_plan	min_n_plan	mean_acc_c_m	var_acc_c_m	max_acc_c_m	min_acc_c_m	mean_acc_l_m	var_acc_l_m	max_acc_l_m	min_acc_l_m	mean_n_loc_m	var_n_loc_m	max_n_loc_m	min_n_loc_m	mean_n_link_m	var_n_link_m	max_n_link_m	min_n_link_m	mean_count	var_count	max_count	min_count	mean_traffic	var_traffic	max_traffic	min_traffic	mean_N	var_N	max_N	min_N	n_migrants	n_arrived	n_dead	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.4444444444444444	0.2777777777777778	1.0	0.0	0.9729739107910049	0.0016236306302070957	1.0	0.8741625100190135	0.9920003593492608	0.0001591830722094123	1.0	0.967043522430492	8.88888888888889	9.611111111111114	14.0	5.0	9.444444444444445	11.777777777777771	16.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0963855421686747	0.185718483690861	3.0	0.0	9	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7857142857142857	0.17460317460317465	1.0	0.0	0.9487860417676801	0.000889615434270015	1.0	0.8777646559388467	1.0039415027510836	0.03802677957208716	1.6528218042463432	0.5993379528075681	15.285714285714286	51.693121693121675	30.0	6.0	14.285714285714286	53.10052910052909	37.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24096385542168675	1.0631795474581252	6.0	0.0	28	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.8125	0.4109042553191489	4.0	0.0	0.9415049108042833	0.0006042561038756118	1.0	0.8989524517566682	1.0752811975093948	0.05528063611097031	1.8609448017654127	0.762375453359562	24.645833333333332	123.2974290780142	44.0	7.0	19.9375	91.88962765957447	52.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3373493975903614	1.6652953276520717	8.0	0.0	48	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.1538461538461537	0.8822115384615385	5.0	0.0	0.9269098304779863	0.00035799246631318393	0.9840668879257503	0.878352109012063	1.184847532395995	0.09448969733191226	2.477273827369507	0.7347699645261667	43.215384615384615	280.3278846153846	72.0	7.0	42.47692307692308	702.9096153846153	114.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3373493975903614	1.2018806935057302	5.0	0.0	65	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.891304347826087	3.328714763497372	7.0	0.0	0.9254026408078408	0.00023306550765158005	0.9784372018024572	0.8814804460613078	1.5036819248463902	0.19048465058664724	3.1733562442635823	0.7397030466840153	62.141304347826086	408.32047300525574	83.0	11.0	97.59782608695652	3108.19911610129	225.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5542168674698795	3.0305612694681163	7.0	0.0	92	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	2.8205128205128207	4.855437665782494	10.0	0.0	0.9319167359790477	0.00016116215087570861	0.9699072482103716	0.8930633576161587	2.095364776028983	0.24191665041162824	3.693635938416698	0.98960236762831	75.6068376068376	156.4130562923664	83.0	13.0	203.83760683760684	7766.361332154439	346.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5180722891566265	2.8624742873934763	8.0	0.0	117	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.4242424242424243	4.749942169789498	13.0	0.0	0.9422456777062288	0.00011651554166509004	0.9790608115184392	0.9000392670930959	2.4426102314939224	0.1954622764893179	3.8923067819444923	0.9948538290875946	78.77272727272727	178.58917418459362	83.0	6.0	335.1363636363636	11003.66065232477	435.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5783132530120482	4.417572729944167	14.0	0.0	132	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.5454545454545454	3.0730837789661325	9.0	0.0	0.9464841929888842	0.00010707830527725093	0.9826292309230021	0.9047656674256943	2.5434712298718405	0.10736824579913339	3.4341082947302937	1.0	80.55194805194805	100.3927085985912	83.0	6.0	402.7012987012987	8103.3742466683625	459.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8674698795180723	9.750514252130474	19.0	0.0	154	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.5754189944134076	2.9535496830079726	11.0	0.0	0.9497358878735037	7.826203441835828e-5	0.9650451416719482	0.9111919214572336	2.6675538333072657	0.09202448262161535	3.7038616760042626	0.9746419796028852	80.9608938547486	96.47599020777166	83.0	10.0	435.99441340782124	6336.893227041604	472.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1325301204819278	15.360270349691449	23.0	0.0	179	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.6377551020408165	2.6937467294610147	11.0	0.0	0.9517487610194046	6.728924464159019e-5	0.991314615461501	0.9111091728296824	2.809560765743935	0.06563035980997926	3.854625207756161	1.0	81.78061224489795	48.408032443746926	83.0	12.0	456.0	4033.220512820513	478.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.144578313253012	19.978842198060537	27.0	0.0	196	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.6621621621621623	2.387611593493946	11.0	0.0	0.9527956517975948	6.375361176864979e-5	0.980846987921824	0.9123100725447363	2.9356065709438997	0.13040765877415825	4.183272092657273	1.0	80.91891891891892	113.80335086217463	83.0	7.0	457.8783783783784	6388.740797358434	481.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2771084337349397	25.93446958565971	30.0	0.0	222	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.6182572614107884	2.1036652835408023	11.0	0.0	0.9524190776875134	8.198321056601306e-5	0.9884194872820014	0.8741625100190135	3.0733832615836456	0.10209076169968512	4.025531753511015	1.0	81.66804979253112	60.62268326417737	83.0	5.0	463.9004149377593	4416.923374827113	481.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3855421686746987	32.31295915368792	34.0	0.0	241	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.606060606060606	2.079963129392787	11.0	0.0	0.9521478931850299	9.48636728165654e-5	0.9930352683352087	0.8695980755782764	3.203194576868216	0.17248240176642188	4.53228270627076	0.970734163668426	81.17424242424242	91.20906786496145	83.0	6.0	461.3901515151515	5813.037317087215	483.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6385542168674698	42.47751983543932	41.0	0.0	264	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.731034482758621	2.058895119914091	13.0	0.0	0.9527549836169898	3.745778980382525e-5	1.0	0.9234955372379414	3.3377155364746542	0.1335130641529293	4.092378401301843	1.0	82.15517241379311	43.453346855983554	83.0	8.0	472.2793103448276	2730.8179095573337	484.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7951807228915662	53.335586247428736	47.0	0.0	290	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.5935483870967744	1.892514876291889	13.0	0.0	0.9531437473529747	4.008102980260211e-5	1.0	0.925225700772367	3.429316234774034	0.23263530109226385	4.229535779533418	0.9731922124468095	81.21290322580646	104.90598183526495	83.0	6.0	467.9483870967742	5691.952020043839	485.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.927710843373494	65.38495445195416	51.0	0.0	310	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.617910447761194	1.5841093931539918	13.0	0.0	0.952187066823364	4.324249086291906e-5	0.9861033847384016	0.913920888687398	3.621004382446553	0.21861138915486564	6.070362525260232	0.9500706260891266	82.01492537313433	40.33809991956348	83.0	12.0	472.3074626865672	3369.7704531235877	485.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2289156626506026	85.98354393182487	61.0	0.0	335	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.5766016713091924	1.3341995922877021	9.0	0.0	0.951571877816197	4.264137975469541e-5	0.9811547303665952	0.906513927448413	3.7588520079859222	0.22423307649317561	5.054125264126218	1.0	82.09470752089136	38.91837973265217	83.0	10.0	473.59610027855155	3134.47607413517	485.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.397590361445783	98.68145753746694	65.0	0.0	359	0	0	
-3.261496604361139	NaN	-3.261496604361139	-3.261496604361139	83.0	NaN	83.0	83.0	485.0	NaN	485.0	485.0	0.0	NaN	0.0	0.0	5.0	NaN	5.0	5.0	0.5999988000024	NaN	0.5999988000024	0.5999988000024	0.9580984120064366	NaN	0.9580984120064366	0.9580984120064366	3.102948873981292	NaN	3.102948873981292	3.102948873981292	3.5	1.3113456464379947	8.0	0.0	0.9511487068404675	4.5947742606282394e-5	0.9826292309230021	0.8842822696171966	3.8900753189719666	0.3385704170366299	4.972741775591119	1.0	81.7	74.60105540897048	83.0	7.0	472.5684210526316	4069.734092487155	485.0	8.0	0.1111111111111111	0.1111111111111111	1.0	0.0	0.0	0.0	0.0	0.0	2.6987951807228914	123.94475462826917	73.0	0.0	380	1	0	
-3.261496604361139	NaN	-3.261496604361139	-3.261496604361139	83.0	NaN	83.0	83.0	485.0	NaN	485.0	485.0	0.0	NaN	0.0	0.0	5.0	NaN	5.0	5.0	0.5999988000024	NaN	0.5999988000024	0.5999988000024	0.9580984120064366	NaN	0.9580984120064366	0.9580984120064366	3.102948873981292	NaN	3.102948873981292	3.102948873981292	3.4329113924050634	1.0430765276617624	8.0	0.0	0.9512209868499912	2.962853897258522e-5	0.9828367525941737	0.9099217476859713	4.051917132489671	0.32593538711489833	5.265785385250113	0.9410654975762505	82.24810126582278	33.694634710531915	83.0	11.0	476.4582278481013	2499.9544689327404	485.0	11.0	0.1111111111111111	0.1111111111111111	1.0	0.0	0.0	0.0	0.0	0.0	2.8313253012048194	144.41022627093741	79.0	0.0	395	1	0	
-3.261496604361139	NaN	-3.261496604361139	-3.261496604361139	83.0	NaN	83.0	83.0	485.0	NaN	485.0	485.0	0.0	NaN	0.0	0.0	5.0	NaN	5.0	5.0	0.5999988000024	NaN	0.5999988000024	0.5999988000024	0.9580984120064366	NaN	0.9580984120064366	0.9580984120064366	3.102948873981292	NaN	3.102948873981292	3.102948873981292	3.3864734299516908	1.0851434653940186	9.0	0.0	0.9507848652130364	3.570130734791874e-5	1.0	0.9102362675654213	4.180543804896239	0.385639351522093	5.12375114897523	0.9741423910007457	82.14492753623189	45.61090641120138	83.0	6.0	476.0144927536232	2766.3194020423343	485.0	6.0	0.1111111111111111	0.1111111111111111	1.0	0.0	0.0	0.0	0.0	0.0	3.0602409638554215	164.91096091683806	84.0	0.0	414	1	0	
-3.261496604361139	NaN	-3.261496604361139	-3.261496604361139	83.0	NaN	83.0	83.0	485.0	NaN	485.0	485.0	0.0	NaN	0.0	0.0	5.0	NaN	5.0	5.0	0.5999988000024	NaN	0.5999988000024	0.5999988000024	0.9580984120064366	NaN	0.9580984120064366	0.9580984120064366	3.102948873981292	NaN	3.102948873981292	3.102948873981292	3.363218390804598	0.9599343185550089	8.0	0.0	0.9499339909520272	3.731784605851367e-5	0.9941067655144074	0.8984168080953765	4.348770219725621	0.4862111750727531	5.310674013778974	0.9640028535714967	81.96781609195402	56.708639228772284	83.0	9.0	474.8919540229885	3362.5988982467125	485.0	6.0	0.1111111111111111	0.1111111111111111	1.0	0.0	0.0	0.0	0.0	0.0	3.253012048192771	202.09374081692624	93.0	0.0	435	1	0	
-3.261496604361139	NaN	-3.261496604361139	-3.261496604361139	83.0	NaN	83.0	83.0	485.0	NaN	485.0	485.0	0.0	NaN	0.0	0.0	5.0	NaN	5.0	5.0	0.5999988000024	NaN	0.5999988000024	0.5999988000024	0.9580984120064366	NaN	0.9580984120064366	0.9580984120064366	3.102948873981292	NaN	3.102948873981292	3.102948873981292	3.3552631578947367	0.9504337767495659	8.0	0.0	0.9490415706036877	3.2883263092226915e-5	0.9603596954722308	0.9072793150778704	4.4941815618769585	0.5409040559493116	5.472148177864199	0.9823697546475243	82.04824561403508	50.64382109118953	83.0	9.0	475.39912280701753	3157.6469442837843	485.0	12.0	0.1111111111111111	0.1111111111111111	1.0	0.0	0.0	0.0	0.0	0.0	3.433734939759036	227.59006758742285	98.0	0.0	456	1	0	
-2.8554157157039914	0.32980337626515777	-2.449334827046844	-3.261496604361139	83.0	0.0	83.0	83.0	485.0	0.0	485.0	485.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	5.0	0.5999988000024	0.0	0.5999988000024	0.5999988000024	0.9580268667394602	1.023745044292923e-8	0.9580984120064366	0.9579553214724839	3.271768370052766	0.05700004450765661	3.4405878661242406	3.102948873981292	3.325531914893617	0.8085151748854512	8.0	1.0	0.9488974584964748	2.8231222795036602e-5	0.9895775385538013	0.9160354866146121	4.656907230391381	0.6269551134042745	5.729948021466986	1.0	82.0936170212766	57.594628680306776	83.0	8.0	477.7276595744681	2811.6826021866377	485.0	4.0	0.2222222222222222	0.4444444444444444	2.0	0.0	0.0	0.0	0.0	0.0	3.5301204819277108	259.17895974140464	103.0	0.0	470	2	0	
