mean_cap	var_cap	max_cap	min_cap	mean_n_loc	var_n_loc	max_n_loc	min_n_loc	mean_n_link	var_n_link	max_n_link	min_n_link	mean_n_contacts	var_n_contacts	max_n_contacts	min_n_contacts	mean_n_steps	var_n_steps	max_n_steps	min_n_steps	mean_freq_plan	var_freq_plan	max_freq_plan	min_freq_plan	mean_acc_c	var_acc_c	max_acc_c	min_acc_c	mean_acc_l	var_acc_l	max_acc_l	min_acc_l	mean_n_plan	var_n_plan	max_n_plan	min_n_plan	mean_acc_c_m	var_acc_c_m	max_acc_c_m	min_acc_c_m	mean_acc_l_m	var_acc_l_m	max_acc_l_m	min_acc_l_m	mean_n_loc_m	var_n_loc_m	max_n_loc_m	min_n_loc_m	mean_n_link_m	var_n_link_m	max_n_link_m	min_n_link_m	mean_count	var_count	max_count	min_count	mean_traffic	var_traffic	max_traffic	min_traffic	mean_N	var_N	max_N	min_N	n_migrants	n_arrived	n_dead	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.6666666666666666	0.24242424242424246	1.0	0.0	0.9518916809907134	0.0009668986583748888	1.0	0.8823251570233805	0.9968434039545633	0.0001195691831285085	1.0	0.9621208474547583	11.333333333333334	10.606060606060613	16.0	5.0	11.833333333333334	20.696969696969703	18.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10843373493975904	0.2929767851895386	4.0	0.0	12	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7931034482758621	0.1699507389162561	1.0	0.0	0.9393363865643252	0.0013140663353081092	1.0	0.8489304940330612	0.9906691847046691	0.00041218950918267945	1.0	0.9007011628401275	12.206896551724139	9.88423645320196	19.0	7.0	12.344827586206897	13.805418719211827	21.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21686746987951808	1.0255656773435204	7.0	0.0	29	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7586206896551724	0.18632788868723532	1.0	0.0	0.9365879088392665	0.0009255202605317729	1.0	0.8489304940330612	1.0119639818518043	0.020394818024501268	1.8125610693165595	0.8173881736752724	14.120689655172415	19.862371445856027	26.0	7.0	12.189655172413794	16.682698124621886	22.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43373493975903615	2.5900675874228622	9.0	0.0	58	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.8082191780821918	0.15715372907153727	1.0	0.0	0.9280616626395509	0.0006686281052497023	0.9760170686529249	0.8514455799934836	1.0050919449950457	0.0228828893738044	1.8125610693165595	0.7231439663165616	16.17808219178082	25.926179604261808	27.0	7.0	13.178082191780822	18.23173515981734	24.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4578313253012048	2.7390537760799294	11.0	0.0	73	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7524752475247525	0.18811881188118812	1.0	0.0	0.9282332111034841	0.0008637001607063155	0.9923472339066782	0.7888427550664656	1.0026969394454428	0.01631539257533774	1.8125610693165595	0.7712872308384783	17.821782178217823	33.2079207920792	32.0	6.0	14.356435643564357	21.15168316831685	25.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5903614457831325	3.122832794593006	8.0	0.0	101	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.816	0.39329032258064517	6.0	0.0	0.9270042675507733	0.0006145180793288135	1.0	0.8411517320956728	0.9918090170963637	0.018783687521302765	1.8125610693165595	0.7712872308384783	21.256	56.86941935483869	42.0	6.0	16.024	33.68490322580645	32.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7228915662650602	4.22715251248898	9.0	0.0	125	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.8231292517006803	0.22877644208368275	4.0	0.0	0.9251021902835493	0.0006620863771498084	1.0	0.8181418079183425	1.0038498369994746	0.035372041042451424	1.8141065568799282	0.7413326924045445	25.306122448979593	112.8029074643556	48.0	4.0	18.639455782312925	65.06774764700398	44.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8192771084337349	5.662062885689098	13.0	0.0	147	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.9156626506024096	0.6595107703541438	6.0	0.0	0.9220908719461252	0.0006728590302684828	1.0	0.8181418079183425	0.996753280916792	0.030083419859074534	1.8125610693165595	0.7056762230651054	30.30722891566265	202.2020080321285	67.0	7.0	22.987951807228917	143.10288426433002	67.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9518072289156626	6.68057596238613	13.0	0.0	166	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.0594594594594595	1.1214453584018802	6.0	0.0	0.923520970477731	0.0006750256619378216	1.0	0.8321345956158956	1.0199786940639652	0.04722112742153822	2.4870218056102757	0.6562943135296908	35.605405405405406	332.10975323149233	74.0	7.0	29.475675675675674	385.5659811985899	106.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.036144578313253	8.81575080811049	16.0	0.0	185	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.3317073170731708	2.1835485413677667	10.0	0.0	0.9219282150556855	0.0006085995205862718	1.0	0.8321345956158956	1.124565987255173	0.11336482838742247	3.01011374844765	0.6737042887986963	40.05853658536585	457.94753706360586	83.0	6.0	38.75609756097561	1146.7049258727882	169.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1927710843373494	11.816044666470761	19.0	0.0	205	0	0	
