id	type	l1	l2	friction	risk	count	acc	
1	FAST	1	2	0.02151630826214646	0.0	0	73.77202507523273	
2	FAST	1	3	0.027987052819351734	0.0	0	56.28564979874087	
3	FAST	1	4	0.07302656972007415	0.0	0	22.19796438751352	
4	FAST	1	5	0.10800269310982086	0.0	0	13.587541290455055	
5	FAST	1	6	0.2005826597473596	0.0	0	7.121937113403631	
6	FAST	1	7	0.05791240055316788	0.0	0	34.901553900604036	
7	FAST	1	8	0.06855335822514483	0.0	0	22.31769454441021	
8	FAST	1	68	0.36490858423453987	0.048	0	8.504784016264553	
9	FAST	1	69	0.40115801759656244	0.048	0	6.691710140323351	
10	FAST	1	70	0.423550267947518	0.048	0	5.134497338058142	
11	FAST	1	71	0.44235053412726005	0.048	0	4.345364493975597	
12	FAST	1	72	0.28733633203502157	0.0	0	7.170770433377568	
13	FAST	1	73	0.1906077266698771	0.0	0	22.012382834037357	
14	FAST	1	74	0.20210142113627694	0.0	0	12.371467357899636	
15	FAST	1	75	0.2630703980821981	0.0	0	11.085904651029157	
16	FAST	1	76	0.3008008736105855	0.0	0	8.820777076555547	
17	FAST	1	77	0.3450902934942693	0.0	0	5.672469390293108	
18	FAST	1	78	0.36284036573475764	0.0	0	4.898251032412491	
19	FAST	2	3	0.007516752227496343	0.0	0	224.90856632937894	
20	FAST	2	4	0.05255626523813813	0.0	0	30.366356566015387	
21	FAST	2	5	0.08753238084772358	0.0	0	16.651221547384264	
22	FAST	2	6	0.18130277439888826	0.0	0	7.893673753833991	
23	FAST	2	7	0.06458409111532147	0.0	0	26.746551922072186	
24	FAST	2	8	0.04808305763328943	0.0	0	34.553265657487216	
25	FAST	2	23	0.24993272053144797	0.0	180	5.668729028315893	
26	FAST	2	68	0.36470401260312413	0.048	173	8.356551293741939	
27	FAST	2	69	0.391780317504476	0.048	1	7.126067537621723	
28	FAST	2	70	0.4257275325971185	0.048	6	5.102880512157894	
29	FAST	2	71	0.43263050137245695	0.048	0	4.779240711432029	
30	FAST	2	72	0.3002858035948819	0.0	0	6.493034955018651	
31	FAST	2	73	0.2035572098999793	0.0	0	16.336931229559617	
32	FAST	2	74	0.21505090436637914	0.0	0	9.583131646950239	
33	FAST	2	75	0.2760198696420584	0.0	0	9.577957291820056	
34	FAST	2	76	0.3137503451704458	0.0	0	7.597475372940177	
35	FAST	2	77	0.3580397650541296	0.0	0	5.302520774470502	
36	FAST	3	4	0.04596140765847902	0.0	0	35.00473926038946	
37	FAST	3	5	0.08093752715814509	0.0	0	18.09889410423754	
38	FAST	3	6	0.18231210638901338	0.0	0	8.586529152832176	
39	FAST	3	7	0.06852057262560743	0.0	0	25.80063060999833	
40	FAST	3	8	0.04148820394371095	0.0	0	40.31656625382409	
41	FAST	3	23	0.253869190371492	0.0	9	5.496915311403646	
42	FAST	3	68	0.3624783762095865	0.048	8	8.916396893453085	
43	FAST	3	69	0.3866275625916361	0.048	1	7.432696100154515	
44	FAST	3	70	0.424054534998753	0.048	0	4.772713328991117	
45	FAST	3	71	0.42731742112785376	0.048	0	5.108354046570528	
46	FAST	3	72	0.30422229677540974	0.0	0	6.662366681669545	
47	FAST	3	73	0.20749369141026527	0.0	0	15.959060748244461	
48	FAST	3	74	0.2189873742064232	0.0	0	9.47750363514896	
49	FAST	3	75	0.27995636282258624	0.0	0	9.472990353189966	
50	FAST	3	76	0.3176868383509737	0.0	0	7.9536251039085535	
51	FAST	3	77	0.36197625823465746	0.0	0	5.517132761772112	
52	FAST	4	5	0.03612179881582182	0.0	0	44.55546978484502	
53	FAST	4	6	0.131309053093839	0.0	0	11.906465323675985	
